numeroProcesso;classeJudicial;dataChegada;nomeTarefa;descricaoUltimoMovimento;tagsProcessoList;assuntoPrincipal;ultimoMovimento
8000381-58.2018.8.05.0216;CartPrecCiv;29/10/2019, 14:49:41;Arquivo definitivo;Baixa Definitiva;digito 40-59;Penhora / Depósito/ Avaliação;29/10/2019, 14:49:42
8000185-54.2019.8.05.0216;CartPrecCiv;30/10/2019, 08:52:31;Arquivo definitivo;Baixa Definitiva;digito 40-59;Penhora / Depósito/ Avaliação;30/10/2019, 08:52:32
8000182-02.2019.8.05.0216;CartPrecCiv;30/10/2019, 09:08:39;Arquivo definitivo;Baixa Definitiva;digito 00-19;Alimentos;30/10/2019, 09:08:40
8000472-17.2019.8.05.0216;CartPrecCiv;30/10/2019, 12:36:55;Arquivo definitivo;Baixa Definitiva;digito 00-19;Compromisso;30/10/2019, 12:36:56
8000700-89.2019.8.05.0216;CartPrecCiv;30/10/2019, 13:44:25;Arquivo definitivo;Baixa Definitiva;digito 80-99;Citação;30/10/2019, 13:44:26
8000433-54.2018.8.05.0216;CartPrecCiv;30/10/2019, 13:48:24;Arquivo definitivo;Baixa Definitiva;digito 40-59;Penhora / Depósito/ Avaliação;30/10/2019, 13:48:25
8000701-74.2019.8.05.0216;CartPrecCiv;31/10/2019, 09:35:20;Arquivo definitivo;Baixa Definitiva;digito 60-79;Intimação;31/10/2019, 09:35:21
8000596-97.2019.8.05.0216;CartPrecCiv;31/10/2019, 10:07:09;Arquivo definitivo;Baixa Definitiva;digito 80-99;Intimação;31/10/2019, 10:07:09
8000608-14.2019.8.05.0216;CartPrecCiv;31/10/2019, 11:22:30;Arquivo definitivo;Baixa Definitiva;digito 00-19;Intimação;31/10/2019, 11:22:31
8000598-67.2019.8.05.0216;CartPrecCiv;31/10/2019, 11:58:19;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;31/10/2019, 11:58:20
8000616-88.2019.8.05.0216;CartPrecCiv;31/10/2019, 12:53:27;Arquivo definitivo;Baixa Definitiva;digito 80-99;Citação;31/10/2019, 12:53:28
8000611-66.2019.8.05.0216;CartPrecCiv;31/10/2019, 13:40:18;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;31/10/2019, 13:40:18
8000444-49.2019.8.05.0216;CartPrecCiv;01/11/2019, 13:19:44;Arquivo definitivo;Baixa Definitiva;digito 40-59;Alimentos;01/11/2019, 13:19:45
8000739-86.2019.8.05.0216;CartPrecCiv;04/11/2019, 08:50:07;Arquivo definitivo;Baixa Definitiva;digito 80-99;Citação;04/11/2019, 08:50:07
8000675-76.2019.8.05.0216;CartPrecCiv;04/11/2019, 09:40:51;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;04/11/2019, 09:40:52
8000680-35.2018.8.05.0216;CartPrecCiv;04/11/2019, 10:37:22;Arquivo definitivo;Baixa Definitiva;digito 20-39;Alimentos;04/11/2019, 10:37:22
8000583-98.2019.8.05.0216;CartPrecCiv;04/11/2019, 12:25:40;Arquivo definitivo;Baixa Definitiva;digito 80-99;Citação;04/11/2019, 12:25:40
8000573-54.2019.8.05.0216;CartPrecCiv;04/11/2019, 12:49:20;Arquivo definitivo;Baixa Definitiva;digito 40-59;Citação;04/11/2019, 12:49:21
8000699-07.2019.8.05.0216;CartPrecCiv;04/11/2019, 13:25:40;Arquivo definitivo;Baixa Definitiva;digito 00-19;Citação;04/11/2019, 13:25:40
8000582-16.2019.8.05.0216;CartPrecCiv;04/11/2019, 13:47:41;Arquivo definitivo;Baixa Definitiva;digito 00-19;Intimação;04/11/2019, 13:47:42
8000612-51.2019.8.05.0216;CartPrecCiv;05/11/2019, 08:54:21;Arquivo definitivo;Baixa Definitiva;digito 40-59;Intimação;05/11/2019, 08:54:22
8000621-13.2019.8.05.0216;CartPrecCiv;05/11/2019, 09:38:55;Arquivo definitivo;Baixa Definitiva;digito 00-19;Citação;05/11/2019, 09:38:56
8000607-29.2019.8.05.0216;CartPrecCiv;05/11/2019, 10:39:07;Arquivo definitivo;Baixa Definitiva;digito 20-39;Citação;05/11/2019, 10:39:08
8000746-78.2019.8.05.0216;CartPrecCiv;05/11/2019, 13:42:22;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;05/11/2019, 13:42:23
8000692-15.2019.8.05.0216;CartPrecCiv;05/11/2019, 13:55:29;Arquivo definitivo;Baixa Definitiva;digito 00-19;Citação;05/11/2019, 13:55:30
8000698-22.2019.8.05.0216;CartPrecCiv;06/11/2019, 09:25:22;Arquivo definitivo;Baixa Definitiva;digito 20-39;Citação;06/11/2019, 09:25:23
8000484-31.2019.8.05.0216;CartPrecCiv;06/11/2019, 10:58:25;Arquivo definitivo;Baixa Definitiva;digito 20-39;Penhora / Depósito/ Avaliação;06/11/2019, 10:58:26
8000606-78.2018.8.05.0216;CartPrecCiv;06/11/2019, 13:01:13;Arquivo definitivo;Baixa Definitiva;digito 60-79;Alimentos;06/11/2019, 13:01:14
8000168-18.2019.8.05.0216;CartPrecCiv;06/11/2019, 13:30:20;Arquivo definitivo;Baixa Definitiva;digito 00-19;Compromisso;06/11/2019, 13:30:21
8000631-91.2018.8.05.0216;CartPrecCiv;07/11/2019, 13:18:21;Arquivo definitivo;Baixa Definitiva;digito 80-99;Penhora / Depósito/ Avaliação;07/11/2019, 13:18:21
8000180-32.2019.8.05.0216;CartPrecCiv;07/11/2019, 13:36:48;Arquivo definitivo;Baixa Definitiva;digito 20-39;Tutela e Curatela;07/11/2019, 13:36:49
8000204-60.2019.8.05.0216;CartPrecCiv;12/11/2019, 11:43:29;Arquivo definitivo;Baixa Definitiva;digito 60-79;Investigação de Paternidade;12/11/2019, 11:43:30
8000187-24.2019.8.05.0216;CartPrecCiv;12/11/2019, 13:03:01;Arquivo definitivo;Baixa Definitiva;digito 20-39;Busca e Apreensão;12/11/2019, 13:03:01
8000573-88.2018.8.05.0216;CartPrecCiv;13/11/2019, 09:20:37;Arquivo definitivo;Baixa Definitiva;digito 80-99;Revisão;13/11/2019, 09:20:38
8000670-54.2019.8.05.0216;CartPrecCiv;13/11/2019, 10:11:10;Arquivo definitivo;Baixa Definitiva;digito 40-59;Citação;13/11/2019, 10:11:10
8000489-53.2019.8.05.0216;CartPrecCiv;13/11/2019, 10:54:09;Arquivo definitivo;Baixa Definitiva;digito 40-59;Dissolução;13/11/2019, 10:54:10
8000267-85.2019.8.05.0216;CartPrecCiv;13/11/2019, 11:42:36;Arquivo definitivo;Baixa Definitiva;digito 80-99;Penhora / Depósito/ Avaliação;13/11/2019, 11:42:36
8000416-18.2018.8.05.0216;CartPrecCiv;13/11/2019, 12:46:00;Arquivo definitivo;Baixa Definitiva;digito 00-19;Penhora / Depósito/ Avaliação;13/11/2019, 12:46:01
8000095-46.2019.8.05.0216;CartPrecCiv;13/11/2019, 13:41:56;Arquivo definitivo;Baixa Definitiva;digito 40-59;Anulação;13/11/2019, 13:41:57
8000676-32.2017.8.05.0216;CartPrecCiv;14/11/2019, 08:46:52;Arquivo definitivo;Baixa Definitiva;digito 20-39;Ausência de Cobrança Administrativa Prévia;14/11/2019, 08:46:53
8000421-06.2019.8.05.0216;CartPrecCiv;14/11/2019, 09:46:11;Arquivo definitivo;Juntada de Petição de certidão;digito 00-19;Alimentos;13/06/2022, 15:02:01
8000199-38.2019.8.05.0216;CartPrecCiv;14/11/2019, 10:13:30;Arquivo definitivo;Baixa Definitiva;digito 20-39;Penhora / Depósito/ Avaliação;14/11/2019, 10:13:31
8000139-02.2018.8.05.0216;CartPrecCiv;14/11/2019, 11:09:49;Arquivo definitivo;Baixa Definitiva;digito 00-19;Penhora / Depósito/ Avaliação;14/11/2019, 11:09:48
8000106-75.2019.8.05.0216;CartPrecCiv;14/11/2019, 13:01:46;Arquivo definitivo;Baixa Definitiva;digito 60-79;Investigação de Paternidade;14/11/2019, 13:01:47
8000417-37.2017.8.05.0216;CartPrecCiv;14/11/2019, 13:46:24;Arquivo definitivo;Baixa Definitiva;digito 20-39;Penhora / Depósito/ Avaliação;14/11/2019, 13:46:24
8000773-32.2017.8.05.0216;CartPrecCiv;14/11/2019, 13:58:54;Arquivo definitivo;Baixa Definitiva;digito 20-39;Alimentos;14/11/2019, 13:58:54
8000534-91.2018.8.05.0216;CartPrecCiv;20/11/2019, 08:23:54;Arquivo definitivo;Baixa Definitiva;digito 80-99;Penhora / Depósito/ Avaliação;20/11/2019, 08:23:55
8000663-96.2018.8.05.0216;CartPrecCiv;20/11/2019, 08:26:18;Arquivo definitivo;Baixa Definitiva;digito 80-99;Desapropriação;20/11/2019, 08:26:19
8000136-81.2017.8.05.0216;DivCon;20/11/2019, 08:29:27;Arquivo definitivo;Baixa Definitiva;digito 80-99;Casamento;20/11/2019, 08:29:28
8000575-24.2019.8.05.0216;DivCons;20/11/2019, 08:30:42;Arquivo definitivo;Baixa Definitiva;digito 20-39;Alimentos;20/11/2019, 08:30:43
8000256-27.2017.8.05.0216;DivCon;20/11/2019, 08:31:36;Arquivo definitivo;Baixa Definitiva;digito 20-39;Dissolução;20/11/2019, 08:31:36
8000670-25.2017.8.05.0216;HoTrEx;20/11/2019, 08:34:31;Arquivo definitivo;Baixa Definitiva;digito 20-39;Alimentos;20/11/2019, 08:34:32
8000089-73.2018.8.05.0216;CartPrecCiv;20/11/2019, 08:37:09;Arquivo definitivo;Baixa Definitiva;digito 60-79;Reconhecimento / Dissolução;20/11/2019, 08:37:10
8000384-13.2018.8.05.0216;DivLit;20/11/2019, 08:37:56;Arquivo definitivo;Baixa Definitiva;digito 00-19;Dissolução;20/11/2019, 08:37:56
8000365-07.2018.8.05.0216;DivCon;20/11/2019, 08:38:49;Arquivo definitivo;Juntada de Ofício;digito 00-19;Casamento;13/01/2023, 11:15:57
8000503-71.2018.8.05.0216;CartPrecCiv;20/11/2019, 08:45:02;Arquivo definitivo;Baixa Definitiva;digito 60-79;Patrimônio Cultural;20/11/2019, 08:45:03
8000108-45.2019.8.05.0216;CartPrecCiv;20/11/2019, 09:35:48;Arquivo definitivo;Baixa Definitiva;digito 40-59;Dissolução;20/11/2019, 09:35:49
8000265-18.2019.8.05.0216;CartPrecCiv;20/11/2019, 09:56:08;Arquivo definitivo;Baixa Definitiva;digito 00-19;Correção Monetária;20/11/2019, 09:56:08
8000442-79.2019.8.05.0216;CartPrecCiv;20/11/2019, 10:29:09;Arquivo definitivo;Baixa Definitiva;digito 60-79;Dissolução;20/11/2019, 10:29:10
8000693-97.2019.8.05.0216;CartPrecCiv;20/11/2019, 10:46:03;Arquivo definitivo;Baixa Definitiva;digito 80-99;Intimação;20/11/2019, 10:46:04
8000793-52.2019.8.05.0216;CartPrecCiv;20/11/2019, 11:09:25;Arquivo definitivo;Baixa Definitiva;digito 40-59;Citação;20/11/2019, 11:09:25
8000614-21.2019.8.05.0216;CartPrecCiv;20/11/2019, 12:50:07;Arquivo definitivo;Baixa Definitiva;digito 20-39;Citação;20/11/2019, 12:50:08
8000282-54.2019.8.05.0216;CartPrecCiv;20/11/2019, 13:56:03;Arquivo definitivo;Baixa Definitiva;digito 40-59;Penhora / Depósito/ Avaliação;20/11/2019, 13:56:03
8000171-70.2019.8.05.0216;CartPrecCiv;21/11/2019, 12:09:13;Arquivo definitivo;Baixa Definitiva;digito 60-79;Alimentos;21/11/2019, 12:09:13
8000488-68.2019.8.05.0216;CartPrecCiv;21/11/2019, 12:25:20;Arquivo definitivo;Baixa Definitiva;digito 60-79;Penhora / Depósito/ Avaliação;21/11/2019, 12:25:20
8000355-26.2019.8.05.0216;CartPrecCiv;21/11/2019, 12:47:12;Arquivo definitivo;Baixa Definitiva;digito 20-39;Dissolução;21/11/2019, 12:47:13
8000628-73.2017.8.05.0216;CartPrecCiv;21/11/2019, 13:03:07;Arquivo definitivo;Baixa Definitiva;digito 60-79;Obrigação de Entregar;21/11/2019, 13:03:08
8000155-19.2019.8.05.0216;CartPrecCiv;21/11/2019, 13:25:02;Arquivo definitivo;Baixa Definitiva;digito 00-19;Alimentos;21/11/2019, 13:25:03
8000696-52.2019.8.05.0216;CartPrecCiv;29/11/2019, 09:20:50;Arquivo definitivo;Baixa Definitiva;digito 40-59;Intimação;29/11/2019, 09:20:51
8000740-71.2019.8.05.0216;CartPrecCiv;29/11/2019, 10:15:41;Arquivo definitivo;Baixa Definitiva;digito 60-79;Intimação;29/11/2019, 10:15:42
8000331-95.2019.8.05.0216;CartPrecCiv;29/11/2019, 10:47:05;Arquivo definitivo;Baixa Definitiva;digito 80-99;Espécies de Contratos;29/11/2019, 10:47:05
8000466-10.2019.8.05.0216;CartOrdCiv;29/11/2019, 12:15:39;Arquivo definitivo;Baixa Definitiva;digito 00-19;Acidente de Trânsito;29/11/2019, 12:15:40
8000384-76.2019.8.05.0216;CartPrecCiv;29/11/2019, 12:53:59;Arquivo definitivo;Baixa Definitiva;digito 60-79;Alimentos;29/11/2019, 12:54:00
8000538-94.2019.8.05.0216;CartPrecCiv;29/11/2019, 13:22:41;Arquivo definitivo;Baixa Definitiva;digito 80-99;Citação;29/11/2019, 13:22:42
8000473-02.2019.8.05.0216;CartPrecCiv;29/11/2019, 13:56:31;Arquivo definitivo;Arquivado Definitivamente;digito 00-19;Prestação de Contas;22/09/2023, 09:48:06
8000737-19.2019.8.05.0216;CartPrecCiv;02/12/2019, 09:48:39;Arquivo definitivo;Baixa Definitiva;digito 00-19;Citação;02/12/2019, 09:48:40
8000418-51.2019.8.05.0216;DivCon;04/12/2019, 07:49:09;Arquivo definitivo;Baixa Definitiva;digito 40-59;Dissolução;04/12/2019, 07:49:10
8000187-63.2015.8.05.0216;TuCuNo;04/12/2019, 08:46:10;Arquivo definitivo;Baixa Definitiva;digito 60-79;Tutela e Curatela;04/12/2019, 08:46:11
8000227-06.2019.8.05.0216;CartPrecCiv;04/12/2019, 12:12:52;Arquivo definitivo;Baixa Definitiva;digito 00-19;Reintegração de Posse;04/12/2019, 12:12:53
8000836-86.2019.8.05.0216;CartPrecCiv;04/12/2019, 12:36:18;Arquivo definitivo;Baixa Definitiva;digito 80-99;Citação;04/12/2019, 12:36:19
8000490-38.2019.8.05.0216;CartPrecCiv;04/12/2019, 13:23:22;Arquivo definitivo;Juntada de Outros documentos;digito 20-39;Penhora / Depósito/ Avaliação;09/09/2022, 13:21:09
8000766-69.2019.8.05.0216;CartPrecCiv;05/12/2019, 10:45:56;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;05/12/2019, 10:45:57
8000780-53.2019.8.05.0216;CartPrecCiv;05/12/2019, 12:35:57;Arquivo definitivo;Baixa Definitiva;digito 40-59;Intimação;05/12/2019, 12:35:57
8000673-09.2019.8.05.0216;CartPrecCiv;05/12/2019, 12:52:18;Arquivo definitivo;Baixa Definitiva;digito 00-19;Intimação;05/12/2019, 12:52:18
8000844-63.2019.8.05.0216;CartPrecCiv;05/12/2019, 13:41:25;Arquivo definitivo;Baixa Definitiva;digito 60-79;Intimação;05/12/2019, 13:41:26
8000469-62.2019.8.05.0216;CartPrecCiv;06/12/2019, 09:49:53;Arquivo definitivo;Baixa Definitiva;digito 60-79;Retificação de Nome;06/12/2019, 09:49:54
8000870-61.2019.8.05.0216;CartPrecCiv;06/12/2019, 09:49:56;Arquivo definitivo;Baixa Definitiva;digito 60-79;Intimação;06/12/2019, 09:49:57
8000855-92.2019.8.05.0216;CartPrecCiv;06/12/2019, 10:59:23;Arquivo definitivo;Baixa Definitiva;digito 80-99;Intimação;06/12/2019, 10:59:24
8000671-39.2019.8.05.0216;CartPrecCiv;06/12/2019, 11:27:24;Arquivo definitivo;Baixa Definitiva;digito 20-39;Intimação;06/12/2019, 11:27:24
8000198-53.2019.8.05.0216;CartPrecCiv;06/12/2019, 11:49:55;Arquivo definitivo;Baixa Definitiva;digito 40-59;Administração de herança;06/12/2019, 11:49:56
8000826-42.2019.8.05.0216;CartPrecCiv;06/12/2019, 12:16:48;Arquivo definitivo;Baixa Definitiva;digito 40-59;Intimação;06/12/2019, 12:16:48
0000249-84.2011.8.05.0216;ProceComCiv;06/12/2019, 12:59:32;Arquivo definitivo;Baixa Definitiva;digito 80-99;Pagamento;06/12/2019, 12:59:33
8000434-05.2019.8.05.0216;CartPrecCiv;06/12/2019, 13:08:44;Arquivo definitivo;Baixa Definitiva;digito 00-19;Inventário e Partilha;06/12/2019, 13:08:45
8000778-83.2019.8.05.0216;CartPrecCiv;06/12/2019, 13:09:43;Arquivo definitivo;Baixa Definitiva;digito 80-99;Intimação;06/12/2019, 13:09:44
8000781-38.2019.8.05.0216;CartPrecCiv;06/12/2019, 13:54:28;Arquivo definitivo;Baixa Definitiva;digito 20-39;Intimação;06/12/2019, 13:54:28
8000795-22.2019.8.05.0216;CartPrecCiv;09/12/2019, 12:10:42;Arquivo definitivo;Baixa Definitiva;digito 20-39;Citação;09/12/2019, 12:10:43
8000794-37.2019.8.05.0216;CartPrecCiv;09/12/2019, 13:01:42;Arquivo definitivo;Baixa Definitiva;digito 20-39;Citação;09/12/2019, 13:01:42
8000765-84.2019.8.05.0216;CartPrecCiv;09/12/2019, 13:41:42;Arquivo definitivo;Baixa Definitiva;digito 80-99;Intimação;09/12/2019, 13:41:42
8000295-53.2019.8.05.0216;CartPrecCiv;10/12/2019, 09:11:13;Arquivo definitivo;Baixa Definitiva;digito 40-59;Desconsideração da Personalidade Jurídica;10/12/2019, 09:11:14
8000806-51.2019.8.05.0216;CartPrecCiv;10/12/2019, 09:44:16;Arquivo definitivo;Baixa Definitiva;digito 40-59;Citação;10/12/2019, 09:44:17
8000774-46.2019.8.05.0216;CartPrecCiv;10/12/2019, 10:06:01;Arquivo definitivo;Baixa Definitiva;digito 40-59;Citação;10/12/2019, 10:06:02
8000392-53.2019.8.05.0216;CartPrecCiv;10/12/2019, 10:25:14;Arquivo definitivo;Baixa Definitiva;digito 40-59;Alimentos;10/12/2019, 10:25:14
8000695-67.2019.8.05.0216;CartPrecCiv;10/12/2019, 10:45:40;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;10/12/2019, 10:45:41
8000449-71.2019.8.05.0216;CartPrecCiv;11/12/2019, 09:06:58;Arquivo definitivo;Juntada de Petição de certidão;digito 60-79;Alimentos;06/06/2022, 10:51:38
8000805-66.2019.8.05.0216;CartPrecCiv;11/12/2019, 09:39:03;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;11/12/2019, 09:39:03
8000448-86.2019.8.05.0216;CartPrecCiv;11/12/2019, 10:39:52;Arquivo definitivo;Baixa Definitiva;digito 80-99;Alimentos;11/12/2019, 10:39:52
8000133-92.2018.8.05.0216;CartPrecCiv;13/12/2019, 09:21:56;Arquivo definitivo;Baixa Definitiva;digito 80-99;Alimentos;13/12/2019, 09:21:57
8000082-81.2018.8.05.0216;CartPrecCiv;13/12/2019, 09:48:09;Arquivo definitivo;Baixa Definitiva;digito 80-99;Penhora / Depósito/ Avaliação;13/12/2019, 09:48:10
8000119-11.2018.8.05.0216;CartPrecCiv;13/12/2019, 09:58:12;Arquivo definitivo;Baixa Definitiva;digito 00-19;Busca e Apreensão;13/12/2019, 09:58:13
8000121-78.2018.8.05.0216;CartPrecCiv;13/12/2019, 10:31:09;Arquivo definitivo;Baixa Definitiva;digito 60-79;Penhora / Depósito/ Avaliação;13/12/2019, 10:31:10
8000531-39.2018.8.05.0216;CartPrecCiv;13/12/2019, 11:07:05;Arquivo definitivo;Baixa Definitiva;digito 20-39;Penhora / Depósito/ Avaliação;13/12/2019, 11:07:06
8000346-64.2019.8.05.0216;CartPrecCiv;13/12/2019, 13:38:04;Arquivo definitivo;Baixa Definitiva;digito 60-79;Alimentos;13/12/2019, 13:38:04
8000045-20.2019.8.05.0216;CartPrecCiv;16/12/2019, 11:45:16;Arquivo definitivo;Baixa Definitiva;digito 00-19, digito 20-39;Alimentos;16/12/2019, 11:45:17
8000205-45.2019.8.05.0216;CartPrecCiv;16/12/2019, 12:37:13;Arquivo definitivo;Baixa Definitiva;digito 40-59;Direito de Imagem;16/12/2019, 12:37:14
8000169-03.2019.8.05.0216;CartPrecCiv;16/12/2019, 13:27:53;Arquivo definitivo;Baixa Definitiva;digito 00-19;Alimentos;16/12/2019, 13:27:53
8000480-91.2019.8.05.0216;CartPrecCiv;16/12/2019, 13:54:32;Arquivo definitivo;Baixa Definitiva;digito 80-99;Dissolução;16/12/2019, 13:54:32
8000338-87.2019.8.05.0216;CartPrecCiv;17/12/2019, 09:47:21;Arquivo definitivo;Baixa Definitiva;digito 80-99;Bem de Família (Voluntário);17/12/2019, 09:47:22
8000241-87.2019.8.05.0216;CartPrecCiv;17/12/2019, 10:48:39;Arquivo definitivo;Baixa Definitiva;digito 80-99;Alimentos;17/12/2019, 10:48:39
8000664-18.2017.8.05.0216;AlEsp;17/12/2019, 11:40:14;Arquivo definitivo;Baixa Definitiva;digito 00-19;Guarda;17/12/2019, 11:40:14
8000376-02.2019.8.05.0216;CartPrecCiv;17/12/2019, 12:18:21;Arquivo definitivo;Baixa Definitiva;digito 00-19;Penhora / Depósito/ Avaliação;17/12/2019, 12:18:22
8000701-11.2018.8.05.0216;CartPrecCiv;19/12/2019, 13:10:00;Arquivo definitivo;Baixa Definitiva;digito 00-19;Alimentos;19/12/2019, 13:10:01
8000353-56.2019.8.05.0216;CartPrecCiv;15/01/2020, 14:58:04;Arquivo definitivo;Baixa Definitiva;digito 40-59;Alimentos;15/01/2020, 14:58:05
8000657-55.2019.8.05.0216;DivCons;31/01/2020, 12:05:42;Arquivo definitivo;Baixa Definitiva;digito 40-59;Dissolução;31/01/2020, 12:05:43
8000322-70.2018.8.05.0216;DivCon;31/01/2020, 13:40:11;Arquivo definitivo;Baixa Definitiva;digito 60-79;Dissolução;31/01/2020, 13:40:12
8000438-76.2018.8.05.0216;HoTrEx;05/02/2020, 09:58:03;Arquivo definitivo;Juntada de Petição de substabelecimento;digito 60-79;Dissolução;19/12/2023, 12:30:55
8000827-27.2019.8.05.0216;CartPrecCiv;10/02/2020, 11:06:57;Arquivo definitivo;Baixa Definitiva;digito 20-39;Intimação;10/02/2020, 11:06:58
8000571-84.2019.8.05.0216;CartPrecCiv;14/02/2020, 13:11:52;Arquivo definitivo;Baixa Definitiva;digito 80-99;Intimação;14/02/2020, 13:11:52
8000967-61.2019.8.05.0216;DivCons;14/02/2020, 14:13:48;Arquivo definitivo;Baixa Definitiva;digito 60-79;Casamento;14/02/2020, 14:13:49
8000216-16.2015.8.05.0216;DivCon;17/02/2020, 10:32:00;Arquivo definitivo;Baixa Definitiva;digito 00-19;Dissolução;17/02/2020, 10:32:01
8000545-91.2016.8.05.0216;CartPrecCiv;17/02/2020, 14:36:28;Arquivo definitivo;Baixa Definitiva;digito 80-99;Busca e Apreensão;17/02/2020, 14:36:28
8000890-52.2019.8.05.0216;CartPrecCiv;19/02/2020, 14:55:31;Arquivo definitivo;Baixa Definitiva;digito 40-59;Intimação;19/02/2020, 14:55:32
8000188-43.2018.8.05.0216;ExTiJu;20/02/2020, 13:14:29;Arquivo definitivo;Baixa Definitiva;digito 40-59;Liquidação / Cumprimento / Execução;20/02/2020, 13:14:30
8000205-79.2018.8.05.0216;ProcComIJ;20/02/2020, 13:27:15;Arquivo definitivo;Baixa Definitiva;digito 60-79;Espécies de Contratos;20/02/2020, 13:27:16
8000206-64.2018.8.05.0216;ProcComIJ;20/02/2020, 13:33:07;Arquivo definitivo;Baixa Definitiva;digito 60-79;Espécies de Contratos;20/02/2020, 13:33:07
8000336-54.2018.8.05.0216;AlEsp;20/02/2020, 13:36:38;Arquivo definitivo;Baixa Definitiva;digito 40-59;Exoneração;20/02/2020, 13:36:39
8000337-39.2018.8.05.0216;ProcComIJ;20/02/2020, 13:41:13;Arquivo definitivo;Baixa Definitiva;digito 20-39;Reconhecimento / Dissolução;20/02/2020, 13:41:14
8000418-85.2018.8.05.0216;DivCon;20/02/2020, 13:54:10;Arquivo definitivo;Baixa Definitiva;digito 80-99;Dissolução;20/02/2020, 13:54:11
8000518-06.2019.8.05.0216;DivCons;20/02/2020, 14:11:16;Arquivo definitivo;Baixa Definitiva;digito 00-19;Casamento;20/02/2020, 14:11:17
8000674-28.2018.8.05.0216;DivCon;28/02/2020, 10:58:19;Arquivo definitivo;Baixa Definitiva;digito 20-39;Dissolução;28/02/2020, 10:58:20
0001309-24.2013.8.05.0216;ProceComCiv;28/02/2020, 12:49:58;Arquivo definitivo;Baixa Definitiva;digito 20-39;Retificação de Nome;06/07/2016, 13:14:10
8000015-19.2018.8.05.0216;RSRRC;28/02/2020, 12:53:07;Arquivo definitivo;Baixa Definitiva;digito 00-19;Retificação de Nome;28/02/2020, 12:53:08
8000349-53.2018.8.05.0216;RSRRC;28/02/2020, 12:54:14;Arquivo definitivo;Baixa Definitiva;digito 40-59;Retificação de Nome;28/02/2020, 12:54:15
0001186-26.2013.8.05.0216;Invent;04/03/2020, 09:04:31;Arquivo definitivo;Baixa Definitiva;digito 20-39;Inventário e Partilha;31/12/2015, 05:41:41
8000149-51.2015.8.05.0216;Usucap;04/03/2020, 09:54:01;Arquivo definitivo;Baixa Definitiva;digito 40-59;Usucapião Extraordinária;04/03/2020, 09:54:02
8000807-41.2016.8.05.0216;Guarda;09/03/2020, 09:38:39;Arquivo definitivo;Baixa Definitiva;Criança, digito 40-59;Guarda;09/03/2020, 09:38:40
8000896-59.2019.8.05.0216;DivCons;13/03/2020, 10:24:52;Arquivo definitivo;Baixa Definitiva;digito 40-59;Dissolução;13/03/2020, 10:24:53
8000671-73.2018.8.05.0216;CartPrecCiv;13/03/2020, 10:55:45;Arquivo definitivo;Baixa Definitiva;digito 60-79;Alimentos;13/03/2020, 10:55:46
8000142-54.2018.8.05.0216;DivCon;16/03/2020, 10:31:20;Arquivo definitivo;Baixa Definitiva;digito 40-59;Bem de Família (Voluntário);16/03/2020, 10:31:21
8000124-62.2020.8.05.0216;CartPrecCiv;16/03/2020, 12:14:01;Arquivo definitivo;Baixa Definitiva;digito 60-79;Citação;16/03/2020, 12:14:02
8000355-31.2016.8.05.0216;RSRRC;17/03/2020, 11:26:57;Arquivo definitivo;Baixa Definitiva;digito 20-39;Retificação de Nome;17/03/2020, 11:26:58
0000263-29.2015.8.05.0216;Interd;18/03/2020, 09:46:16;Arquivo definitivo;Baixa Definitiva;digito 20-39;Tutela e Curatela;18/03/2020, 09:46:17
0000166-29.2015.8.05.0216;Interd;18/03/2020, 11:06:21;Arquivo definitivo;Baixa Definitiva;digito 20-39;Tutela e Curatela;18/03/2020, 11:06:22
8000675-13.2018.8.05.0216;DivCon;18/03/2020, 11:20:12;Arquivo definitivo;Baixa Definitiva;digito 00-19;Dissolução;18/03/2020, 11:20:13
8000703-78.2018.8.05.0216;DivCon;19/03/2020, 11:19:40;Arquivo definitivo;Baixa Definitiva;digito 60-79;Dissolução;19/03/2020, 11:19:40
0000711-41.2011.8.05.0216;Interd;24/03/2020, 12:06:54;Arquivo definitivo;Baixa Definitiva;digito 40-59;Tutela e Curatela;24/03/2020, 12:06:55
0000031-91.1990.8.05.0216;ProceComCiv;30/03/2020, 12:44:25;Arquivo definitivo;Baixa Definitiva;digito 80-99;Investigação de Paternidade;30/03/2020, 12:44:26
8001144-30.2016.8.05.0216;ProcComIJ;01/04/2020, 09:50:33;Arquivo definitivo;Baixa Definitiva;digito 20-39;Espécies de Contratos;01/04/2020, 09:50:34
8000479-09.2019.8.05.0216;CartPrecCiv;01/04/2020, 12:23:48;Arquivo definitivo;Baixa Definitiva;digito 00-19;Alimentos;01/04/2020, 12:23:49
8001051-67.2016.8.05.0216;ProceComCiv;09/04/2020, 07:26:35;Arquivo definitivo;Baixa Definitiva;digito 60-79;Indenização por Dano Moral;09/04/2020, 07:26:36
